offset;address;content
"[%ebp - 53 ]";"0xffffeb19";"MANDATORY_PATH=/usr/share/gconf/i3.mandatory.path"
"[%ebp - 54 ]";"0xffffeb4b";"LC_NAME=fr_FR.UTF-8"
"[%ebp - 55 ]";"0xffffeb5f";"XDG_SESSION_ID=c2"
"[%ebp - 56 ]";"0xffffeb71";"XDG_GREETER_DATA_DIR=/var/lib/lightdm-data/remi"
"[%ebp - 57 ]";"0xffffeba1";"USER=remi"
"[%ebp - 58 ]";"0xffffebab";"DESKTOP_SESSION=i3"
"[%ebp - 59 ]";"0xffffebbe";"DEFAULTS_PATH=/usr/share/gconf/i3.default.path"
"[%ebp - 60 ]";"0xffffebed";"PWD=/home/remi/Documents/tmpdoc/stack_dumper"
"[%ebp - 61 ]";"0xffffec1a";"HOME=/home/remi"
"[%ebp - 62 ]";"0xffffec2a";"SSH_AGENT_PID=1504"
"[%ebp - 63 ]";"0xffffec3d";"QT_ACCESSIBILITY=1"
"[%ebp - 64 ]";"0xffffec50";"XDG_SESSION_TYPE=x11"
"[%ebp - 65 ]";"0xffffec65";"XDG_DATA_DIRS=/usr/share/i3:/usr/local/share:/usr/share:/var"
"[%ebp - 66 ]";"0xffffecb4";"XDG_SESSION_DESKTOP=i3"
"[%ebp - 67 ]";"0xffffeccb";"LC_ADDRESS=fr_FR.UTF-8"
"[%ebp - 68 ]";"0xffffece2";"LC_NUMERIC=fr_FR.UTF-8"
"[%ebp - 69 ]";"0xffffecf9";"TERM=xterm-256color"
"[%ebp - 70 ]";"0xffffed0d";"SHELL=/bin/bash"
"[%ebp - 71 ]";"0xffffed1d";"VTE_VERSION=5202"
"[%ebp - 72 ]";"0xffffed2e";"XDG_SEAT_PATH=/org/freedesktop/DisplayManager/Seat0"
"[%ebp - 73 ]";"0xffffed62";"XDG_CURRENT_DESKTOP=i3"
"[%ebp - 74 ]";"0xffffed79";"GPG_AGENT_INFO=/run/user/1000/gnupg/S.gpg-agent:0:1"
"[%ebp - 75 ]";"0xffffedad";"XDG_SEAT=seat0"
"[%ebp - 76 ]";"0xffffedbc";"SHLVL=1"
"[%ebp - 77 ]";"0xffffedc4";"LANGUAGE=en_US"
"[%ebp - 78 ]";"0xffffedd3";"WINDOWID=16779308"
"[%ebp - 79 ]";"0xffffede5";"LC_TELEPHONE=fr_FR.UTF-8"
"[%ebp - 80 ]";"0xffffedfe";"GDMSESSION=i3"
"[%ebp - 81 ]";"0xffffee0c";"LOGNAME=remi"
"[%ebp - 82 ]";"0xffffee19";"DBUS_SESSION_BUS_ADDRESS=unix:path=/run/user/1000/bus"
"[%ebp - 83 ]";"0xffffee4f";"XDG_RUNTIME_DIR=/run/user/1000"
"[%ebp - 84 ]";"0xffffee6e";"XAUTHORITY=/home/remi/.Xauthority"
"[%ebp - 85 ]";"0xffffee90";"XDG_SESSION_PATH=/org/freedesktop/DisplayManager/Session0"
"[%ebp - 86 ]";"0xffffeeca";"XDG_CONFIG_DIRS=/etc/xdg/xdg-i3:/etc/xdg"
"[%ebp - 87 ]";"0xffffeef3";"PATH=/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin"
"[%ebp - 88 ]";"0xffffef5b";"LC_IDENTIFICATION=fr_FR.UTF-8"
"[%ebp - 89 ]";"0xffffef79";"LESSOPEN=| /usr/bin/lesspipe "
"[%ebp - 90 ]";"0xffffef99";"LC_TIME=fr_FR.UTF-8"
"[%ebp - 91 ]";"0xffffefad";"OLDPWD=/home/remi/Documents/tmpdoc"
"[%ebp - 92 ]";"0xffffefd0";"_=./stack_dumper.py"
"[%ebp - 93 ]";"0x00000000";"(null)"
"[%ebp - 95 ]";"0xf7ffb000";"\x7fELF\x02\x01\x01"
"[%ebp - 103]";"0x55554040";"\x06"
"[%ebp - 109]";"0xf7dd5000";"\x7fELF\x02\x01\x01"
"[%ebp - 111]";"0x00000000";"(null)"
"[%ebp - 113]";"0x55554580";"1\xedI\x89\xd1^H\x89\xe2H\x83\xe4\xf0PTL\x8d\x05:\x02"
"[%ebp - 123]";"0x00000000";"(null)"
"[%ebp - 125]";"0xffffe319";"Cf\xb7\xb7,\xa6|}\x99\x88\xc7}\x8e\x13\x01\x1dx86_64"
"[%ebp - 127]";"0x00000000";"(null)"
"[%ebp - 129]";"0xffffefe4";"./vulnerable_binary"
"[%ebp - 131]";"0xffffe319";"x86_64"
"[%ebp - 132]";"0x00000000";"(null)"
"[%ebp - 133]";"0x00000000";"(null)"
"[%ebp - 134]";"0x00000000";"(null)"
"[%ebp - 138]";"0x00000000";"(null)"
