offset;address;content
"[%ebp - 63 ]";"0x74cb9be4";"QT_ACCESSIBILITY=1"
"[%ebp - 64 ]";"0x05e25bf7";"XDG_SESSION_TYPE=x11"
"[%ebp - 65 ]";"0x50e9bc0c";"XDG_DATA_DIRS=/usr/share/i3:/usr/local/share:/usr/share:/var"
"[%ebp - 66 ]";"0x9d9fdc5b";"XDG_SESSION_DESKTOP=i3"
"[%ebp - 67 ]";"0x6402ac72";"LC_ADDRESS=fr_FR.UTF-8"
"[%ebp - 68 ]";"0xaef43c89";"LC_NUMERIC=fr_FR.UTF-8"
"[%ebp - 69 ]";"0x3b101ca0";"TERM=xterm-256color"
"[%ebp - 70 ]";"0x9f701cb4";"SHELL=/bin/bash"
"[%ebp - 71 ]";"0xe832fcc4";"VTE_VERSION=5202"
"[%ebp - 72 ]";"0x1b7e9cd5";"XDG_SEAT_PATH=/org/freedesktop/DisplayManager/Seat0"
"[%ebp - 73 ]";"0x110afd09";"XDG_CURRENT_DESKTOP=i3"
"[%ebp - 74 ]";"0x4c730d20";"GPG_AGENT_INFO=/run/user/1000/gnupg/S.gpg-agent:0:1"
"[%ebp - 75 ]";"0x2a849d54";"XDG_SEAT=seat0"
"[%ebp - 76 ]";"0xfad89d63";"SHLVL=1"
"[%ebp - 77 ]";"0xfe5cad6b";"LANGUAGE=en_US"
"[%ebp - 78 ]";"0x45f40d7a";"WINDOWID=16777219"
"[%ebp - 79 ]";"0x5da67d8c";"LC_TELEPHONE=fr_FR.UTF-8"
"[%ebp - 80 ]";"0xdd20cda5";"GDMSESSION=i3"
"[%ebp - 81 ]";"0xd80e5db3";"LOGNAME=hermes"
"[%ebp - 82 ]";"0xbcba4dc2";"DBUS_SESSION_BUS_ADDRESS=unix:path=/run/user/1000/bus"
"[%ebp - 83 ]";"0x9a444df8";"XDG_RUNTIME_DIR=/run/user/1000"
"[%ebp - 84 ]";"0x8a21fe17";"XAUTHORITY=/home/hermes/.Xauthority"
"[%ebp - 85 ]";"0x69489e3b";"XDG_SESSION_PATH=/org/freedesktop/DisplayManager/Session0"
"[%ebp - 86 ]";"0x8204fe75";"XDG_CONFIG_DIRS=/etc/xdg/xdg-i3:/etc/xdg"
"[%ebp - 87 ]";"0xb6b44e9e";"PATH=/home/hermes/Softwares/aliases:/home/hermes/.local/bin:"
"[%ebp - 88 ]";"0x1e65cf3d";"LC_IDENTIFICATION=fr_FR.UTF-8"
"[%ebp - 89 ]";"0x068a5f5b";"LESSOPEN=| /usr/bin/lesspipe "
"[%ebp - 90 ]";"0x47054f7b";"LC_TIME=fr_FR.UTF-8"
"[%ebp - 91 ]";"0x942f2f8f";"OLDPWD=/home/hermes/Documents/git_projects/small-projects"
"[%ebp - 92 ]";"0x2f219fc9";"_=./stack_dumper.py"
"[%ebp - 93 ]";"0x00000000";"(null)"
"[%ebp - 95 ]";"0x9cc7a000";"\x7fELF\x02\x01\x01"
"[%ebp - 103]";"0xaee4b040";"\x06"
"[%ebp - 109]";"0x4826e000";"\x7fELF\x02\x01\x01"
"[%ebp - 111]";"0x00000000";"(null)"
"[%ebp - 113]";"0xf9d1e580";"1\xedI\x89\xd1^H\x89\xe2H\x83\xe4\xf0PTL\x8d\x05:\x02"
"[%ebp - 123]";"0x00000000";"(null)"
"[%ebp - 125]";"0x3cb92ff9";"l\xc2c\xe3\xe01\x11H\xea\xacu\x1eu(\x08\x92x86_64"
"[%ebp - 127]";"0x00000000";"(null)"
"[%ebp - 129]";"0xb63acfdd";"examples/vulnerable_binary"
"[%ebp - 131]";"0xae6c9ef9";"x86_64"
"[%ebp - 132]";"0x00000000";"(null)"
"[%ebp - 133]";"0x00000000";"(null)"
"[%ebp - 134]";"0x00000000";"(null)"
"[%ebp - 138]";"0x00000000";"(null)"
"[%ebp - 139]";"0x00000000";"(null)"
"[%ebp - 140]";"0x00000000";"(null)"
"[%ebp - 141]";"0x00000000";"(null)"
"[%ebp - 142]";"0x00000000";"(null)"
"[%ebp - 143]";"0x00000000";"(null)"
"[%ebp - 144]";"0x00000000";"(null)"
"[%ebp - 145]";"0x00000000";"(null)"
"[%ebp - 146]";"0x00000000";"(null)"
"[%ebp - 147]";"0x00000000";"(null)"
"[%ebp - 148]";"0x00000000";"(null)"
"[%ebp - 149]";"0x00000000";"(null)"
"[%ebp - 150]";"0x00000000";"(null)"
